[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 479, playerY = 466.9
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 464, playerY = 464
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 461, playerY = 461
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 419, playerY = 419
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 437, playerY = 432.5
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 440, playerY = 437.9
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 443, playerY = 443
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 446, playerY = 443
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 446, playerY = 446
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 443, playerY = 443
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 440, playerY = 440
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 437, playerY = 437
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 434, playerY = 434
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 431, playerY = 431
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 422, playerY = 422
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 419, playerY = 419
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 437, playerY = 432.5
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 440, playerY = 437.9
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 443, playerY = 443
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 446, playerY = 443
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 447
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 444
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 432, playerY = 432
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 435.9
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 447
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 444
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 432, playerY = 432
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 423, playerY = 423
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 434.4
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 442.5
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 447
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 447
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 444
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 432, playerY = 432
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 435.9
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 441
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 446, playerY = 446
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 443, playerY = 443
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 440, playerY = 440
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 437, playerY = 437
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 434, playerY = 434
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 431, playerY = 431
[SLOPE COLLISION] Tile: 3 at (12, 13), slopeY = 422, playerY = 422
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 435.9
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 447
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 444
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 438
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 432, playerY = 432
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 420, playerY = 420
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 420, playerY = 420
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 420, playerY = 420
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 420, playerY = 420
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 434.4
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 435, playerY = 435
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 432, playerY = 432
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 429, playerY = 429
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 417, playerY = 417
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 438, playerY = 435.9
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 441, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 444, playerY = 441
[SLOPE COLLISION] Tile: 2 at (5, 13), slopeY = 447, playerY = 441
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 382, playerY = 380.4
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 379, playerY = 376
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 376, playerY = 372.5
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 373, playerY = 369.9
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 370, playerY = 368.2
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 361, playerY = 361
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 395, playerY = 395
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 386, playerY = 386
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 386, playerY = 386
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 386, playerY = 386
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 386, playerY = 386
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 398, playerY = 398
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 407, playerY = 400.7
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 410, playerY = 403.4
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 413, playerY = 407
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 382, playerY = 368.2
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 373, playerY = 368.5
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 370, playerY = 370
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 367, playerY = 367
[SLOPE COLLISION] Tile: 2 at (7, 11), slopeY = 358, playerY = 358
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
[SLOPE COLLISION] Tile: 2 at (6, 12), slopeY = 404, playerY = 404
